12.47,0.00
13.00,0.00
13.52,0.00
14.04,0.00
14.56,0.00
15.08,0.00
15.60,0.00
16.12,0.00
16.65,0.00
17.17,0.00
17.68,0.00
18.20,0.00
18.73,0.00
19.25,0.00
19.76,0.00
20.29,0.00
20.81,0.00
21.33,0.00
21.85,0.00
22.37,0.00
22.89,0.00
23.41,1819.32
23.93,2003.53
24.45,2003.53
24.98,2003.53
25.50,1656.22
26.02,1316.11
26.54,721.39
27.06,72.83
27.58,677.33
28.10,890.46
28.62,983.64
29.14,982.57
29.66,989.30
30.18,964.66
30.70,976.60
31.22,980.88
31.74,967.72
32.27,979.35
32.79,968.03
33.31,967.72
33.83,1000.47
34.35,964.51
34.87,998.78
35.39,961.91
35.91,980.42
36.43,974.76
36.96,989.60
37.48,1021.58
38.00,989.45
38.52,952.12
39.04,945.85
39.56,964.36
40.08,686.36
40.60,-17.75
41.12,-0.31
41.64,-0.31
42.16,0.00
42.68,0.00
43.20,0.00
43.72,-0.46
44.25,-0.61
44.77,-1.22
