timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
4348869,3.79817,3.86648,3.73784,23.2555,1.0
4359767,3.79345,3.86164,3.64289,23.2498,1.0
4370805,3.78903,3.85697,4.25365,23.217,1.0
4381768,3.7837,3.85174,1.4946,23.247,1.0
4392819,3.77783,3.84579,5.52575,23.2455,1.0
4403923,3.77718,3.84518,4.76405,23.2541,1.0
4413752,3.78321,3.85126,4.65168,23.2455,1.0
4424822,3.79344,3.86167,4.63316,23.2441,1.0
4434810,3.80655,3.87482,4.25367,23.217,1.0
4446184,3.82014,3.88887,3.64295,23.2498,1.0
4456825,3.8327,3.90142,4.25365,23.217,1.0
4467927,3.84396,3.91292,3.39097,23.2355,1.0
4477759,3.85448,3.92376,4.76391,23.2541,1.0
4488872,3.86671,3.93627,4.61315,23.2427,1.0
4499911,3.88316,3.95301,5.42922,23.237,1.0
4509788,3.90407,3.97423,4.39744,23.227,1.0
4520825,3.92727,3.9979,4.70815,23.2498,1.0
4531753,3.95103,4.02192,4.3154,23.2212,1.0
4542795,3.97368,4.04517,3.73786,23.2555,1.0
4554206,3.99381,4.06546,4.25369,23.217,1.0
4565895,4.01245,4.08453,4.45712,23.2312,1.0
4576819,4.03087,4.10328,4.43779,23.2298,1.0
4586790,4.04793,4.12071,3.41634,23.237,1.0
4597752,4.06232,4.13529,4.3974,23.227,1.0
4607923,4.076,4.14934,4.80131,23.257,1.0
4618804,4.09093,4.16438,4.49693,23.2341,1.0
4629757,4.10787,4.18159,5.32947,23.2284,1.0
4639768,4.12893,4.20322,5.49459,23.2427,1.0
4650795,4.15505,4.22965,5.32952,23.2284,1.0
4662183,4.18427,4.25956,4.7278,23.2513,1.0
4674343,4.21459,4.29015,5.17845,23.2155,1.0
4685895,4.24525,4.32155,4.59441,23.2412,1.0
4696819,4.27495,4.35172,4.57417,23.2398,1.0
4707911,4.30135,4.3786,3.46811,23.2398,1.0
4718806,4.32217,4.39995,3.64297,23.2498,1.0
4729761,4.33792,4.41584,4.43779,23.2298,1.0
4740820,4.35156,4.4298,4.70813,23.2498,1.0
4751824,4.36317,4.44146,3.22926,23.227,1.0
4763115,4.37155,4.45009,4.70806,23.2498,1.0
4774793,4.3781,4.45649,4.23175,23.2155,1.0
4785759,4.38283,4.46161,3.71474,23.2541,1.0
4797775,4.38532,4.46413,4.70808,23.2498,1.0
4808869,4.38756,4.46648,4.65168,23.2455,1.0
4819462,4.39047,4.46933,4.51603,23.2355,1.0
4830359,4.39312,4.47177,4.21139,23.2141,1.0
4842837,4.39521,4.47417,4.70806,23.2498,1.0
4852819,4.39586,4.47469,3.11889,23.2212,1.0
4863752,4.39248,4.47155,3.41641,23.237,1.0
4875611,4.38509,4.46372,4.19106,23.2127,1.0
4886793,4.37525,4.45388,3.39107,23.2355,1.0
4897760,4.3621,4.44041,3.17564,23.2241,1.0
4909880,4.34586,4.42381,4.23187,23.2155,1.0
4920819,4.32815,4.40601,3.46821,23.2398,1.0
4931822,4.30974,4.38718,4.41692,23.2284,1.0
4942809,4.29238,4.3695,4.59439,23.2412,1.0
4953759,4.27576,4.35234,2.88093,23.2098,1.0
4964820,4.25833,4.3349,4.70813,23.2498,1.0
4975753,4.24197,4.31803,4.29539,23.2198,1.0
4987653,4.22934,4.30531,5.41201,23.2355,1.0
4998812,4.22297,4.29884,5.4449,23.2384,1.0
5011225,4.22226,4.29804,4.23192,23.2155,1.0
5022358,4.22064,4.29661,1.43599,23.2455,1.0
5032821,4.21304,4.28879,3.46818,23.2398,1.0
5043768,4.19901,4.27453,0.995666,23.237,1.0
5054792,4.1787,4.25371,3.14637,23.2227,1.0
5065759,4.15239,4.227,0.796521,23.2341,1.0
5076820,4.1205,4.19441,3.00231,23.2155,1.0
5087910,4.08372,4.15716,1.43597,23.2455,1.0
5099642,4.04319,4.11576,3.3636,23.2341,1.0
5110804,3.99897,4.07056,0.0,23.2069,1.0
5121761,3.95361,4.02457,5.38008,23.2327,1.0
