timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
4317753,4.37903,4.45986,4.89896,23.5835,1.0
4327752,4.38797,4.4687,4.30197,23.5392,1.0
4338793,4.39514,4.47619,3.62454,23.5677,1.0
4349766,4.39914,4.48007,4.34329,23.542,1.0
4360822,4.40177,4.48302,4.78972,23.5749,1.0
4371756,4.40332,4.48431,3.18326,23.5435,1.0
4382815,4.40091,4.48197,3.39841,23.5549,1.0
4393754,4.39499,4.47601,4.65798,23.5649,1.0
4403840,4.38927,4.47024,4.75223,23.572,1.0
4414873,4.385,4.46573,4.3631,23.5435,1.0
4424872,4.38414,4.46488,6.25874,23.5477,1.0
4434815,4.38893,4.46978,4.46357,23.5506,1.0
4445879,4.39617,4.4771,4.56172,23.5577,1.0
4457766,4.40476,4.48596,5.7222,23.5677,1.0
4468837,4.41776,4.49906,5.5004,23.5477,1.0
4479919,4.43728,4.51909,6.42573,23.5649,1.0
4490806,4.4621,4.54421,4.38273,23.5449,1.0
4501766,4.48867,4.57147,5.75339,23.5706,1.0
4512821,4.51529,4.59831,4.26022,23.5363,1.0
4523765,4.54002,4.62363,4.65789,23.5649,1.0
4534874,4.56038,4.64439,3.42363,23.5563,1.0
4545774,4.57532,4.65944,4.23842,23.5349,1.0
4555847,4.58507,4.66957,3.67344,23.5706,1.0
4566836,4.5912,4.67598,4.88141,23.582,1.0
4576830,4.59774,4.68258,5.79924,23.5749,1.0
4587840,4.60849,4.69337,5.58048,23.5549,1.0
4597756,4.62383,4.7091,5.72223,23.5677,1.0
4608753,4.64273,4.72802,5.37003,23.5363,1.0
4618861,4.66453,4.75063,5.82998,23.5778,1.0
4629753,4.68929,4.77567,5.59706,23.5563,1.0
4639758,4.71669,4.80367,5.72223,23.5677,1.0
4651840,4.7419,4.82902,0.829373,23.5392,1.0
4662792,4.76075,4.84842,5.65932,23.562,1.0
4673753,4.77811,4.86616,5.73717,23.5692,1.0
4685768,4.7996,4.88796,6.37078,23.5592,1.0
4696849,4.82598,4.91511,5.87527,23.582,1.0
4707753,4.85522,4.94446,5.40323,23.5392,1.0
4717874,4.8838,4.9739,4.82681,23.5778,1.0
4728821,4.90878,4.99911,4.34331,23.542,1.0
4739225,4.92873,5.01941,4.56167,23.5577,1.0
4750859,4.94551,5.03666,5.65941,23.562,1.0
4761766,4.96261,5.0541,5.69091,23.5649,1.0
4773753,4.97983,5.07151,4.46352,23.5506,1.0
4783765,4.99534,5.08734,5.59704,23.5563,1.0
4795726,5.00916,5.10143,4.5034,23.5535,1.0
4805784,5.01956,5.1118,4.11164,23.5263,1.0
4817752,5.02778,5.12054,6.46788,23.5692,1.0
4829752,5.03572,5.12825,2.95027,23.532,1.0
4840854,5.04209,5.13488,6.32907,23.5549,1.0
4851753,5.04926,5.14196,5.2868,23.5292,1.0
4861775,5.05846,5.15157,5.59698,23.5563,1.0
4873753,5.06739,5.16083,4.56185,23.5577,1.0
