timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
3945821,0.0,0.0,1.76661,23.4495,1.0
3956209,0.0,0.0,1.23318,23.4367,1.0
3968238,0.0,0.0,0.796696,23.4295,1.0
3978752,0.0,0.0,0.0,23.4009,1.0
3988911,0.0,0.0,1.08485,23.4338,1.0
4000163,0.0,0.0,0.995875,23.4324,1.0
4012142,0.0,0.0,0.0,23.3952,1.0
4022769,0.0,0.0,0.0,23.4224,1.0
4033828,0.0,0.0,0.0,23.3995,1.0
4044760,0.0,0.0,0.32524,23.4252,1.0
4056180,0.0,0.0,0.0,23.4109,1.0
4066753,0.0,0.0,1.76658,23.4495,1.0
4077819,0.0,0.0,0.0,23.4166,1.0
4088753,0.0,0.0,0.0,23.4238,1.0
4098759,0.0,0.0,0.325248,23.4252,1.0
4108763,0.0,0.0,0.0,23.4238,1.0
4120178,0.0,0.0,0.99589,23.4324,1.0
4132143,0.0,0.0,0.0,23.4024,1.0
4144151,0.0,0.0,0.796704,23.4295,1.0
4154883,0.0,0.0,0.0,23.4138,1.0
4165838,0.0,0.0,0.0,23.4209,1.0
4177031,0.0,0.0,0.0,23.4095,1.0
4189025,0.0,0.0,1.08488,23.4338,1.0
4199798,0.0,0.0,0.0,23.4209,1.0
4210763,0.0,0.0,0.0,23.4052,1.0
4221819,0.0,0.0,1.37031,23.4395,1.0
4233028,0.0,0.0,0.0,23.4081,1.0
4243851,0.0,0.0,1.16136,23.4352,1.0
4254753,0.0,0.0,0.0,23.4181,1.0
4265040,0.0,0.0,0.995885,23.4324,1.0
4277026,0.0,0.0,0.0,23.4081,1.0
4287790,0.0,0.0,0.0,23.4224,1.0
4298757,0.0,0.0,0.0,23.5001,1.0
4309017,0.0,0.0,0.325308,23.5229,1.0
4321042,0.0,0.0,1.30633,23.5358,1.0
4331803,0.0,0.0,0.0,23.4972,1.0
4341819,0.0,0.0,1.08503,23.5315,1.0
4351851,0.0,0.0,0.0,23.5201,1.0
4362781,0.0,0.0,0.539442,23.5244,1.0
4373820,0.0,0.0,3.00337,23.5086,1.0
4383838,0.0,0.0,0.0,23.5144,1.0
4394752,0.0,0.0,0.0,23.4209,1.0
4405827,0.0,0.0,0.995885,23.4324,1.0
4417021,0.0,0.0,2.65965,23.3952,1.0
4429017,0.0,0.0,0.0,23.4152,1.0
4441021,0.0,0.0,0.0,23.4209,1.0
4453026,0.0,0.0,0.0,23.4009,1.0
4463790,0.0,0.0,3.33873,23.4281,1.0
4474754,0.0,0.0,0.0,23.3981,1.0
4485819,0.0,0.0,1.23319,23.4367,1.0
4497036,0.0,0.0,3.33934,23.5258,1.0
4507851,0.0,0.0,0.0,23.5201,1.0
4518752,0.274903,0.279943,0.0,23.5158,1.0
4529870,0.416969,0.424627,0.796832,23.5272,1.0
4541032,0.52619,0.535855,3.3924,23.5286,1.0
4551792,0.638886,0.650591,2.69226,23.4943,1.0
4562753,0.756347,0.770243,3.3135,23.5244,1.0
4574100,0.874811,0.890843,2.91405,23.5043,1.0
4585982,0.992369,1.01058,3.23057,23.5201,1.0
4597051,1.10663,1.12691,2.72402,23.4958,1.0
4609817,1.21,1.23219,0.0,23.5072,1.0
4619804,1.29951,1.32332,3.09026,23.5129,1.0
4629870,1.3841,1.40944,3.00342,23.5086,1.0
4639874,1.46931,1.49629,3.23059,23.5201,1.0
4650775,1.54949,1.57785,0.0,23.4986,1.0
4661819,1.62029,1.65004,3.25913,23.5215,1.0
4671828,1.68286,1.71368,0.0,23.4929,1.0
4682753,1.73803,1.76991,3.25907,23.5215,1.0
4694199,1.78786,1.82065,0.0,23.5186,1.0
4704753,1.83396,1.86764,3.2306,23.5201,1.0
4715795,1.88037,1.9149,3.25915,23.5215,1.0
4726774,1.92691,1.96225,0.325298,23.5229,1.0
4738517,1.96603,2.00208,0.0,23.5158,1.0
4750171,1.99854,2.03523,3.36495,23.5272,1.0
4760822,2.0326,2.0699,3.33929,23.5258,1.0
4770877,2.07103,2.10897,3.14751,23.5158,1.0
4782093,2.11253,2.15136,3.36503,23.5272,1.0
4792753,2.15638,2.1959,3.14753,23.5158,1.0
4802757,2.20202,2.24243,3.41759,23.5301,1.0
4814203,2.24846,2.28967,2.88211,23.5029,1.0
4826544,2.29465,2.3368,3.33934,23.5258,1.0
4838227,2.34053,2.38348,3.12017,23.5144,1.0
4850619,2.38587,2.42966,3.14761,23.5158,1.0
4860753,2.43044,2.47504,3.31344,23.5244,1.0
4871790,2.47407,2.51942,2.97471,23.5072,1.0
4883035,2.51637,2.56256,3.33931,23.5258,1.0
4894755,2.55746,2.60435,3.09031,23.5129,1.0
4907029,2.59741,2.64511,3.33933,23.5258,1.0
