timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
4272182,6.2938,6.41263,5.70849,23.8594,1.0
4284198,6.31705,6.43593,7.52856,23.8237,1.0
4294820,6.34186,6.46157,7.65802,23.8394,1.0
4305768,6.36883,6.4889,6.28885,23.8437,1.0
4316795,6.39285,6.51345,5.43876,23.8351,1.0
4327767,6.41088,6.53164,6.04397,23.8194,1.0
4338878,6.42627,6.54761,7.77304,23.8537,1.0
4349911,6.44474,6.56636,7.77296,23.8537,1.0
4360792,6.46327,6.58501,3.29297,23.8423,1.0
4371754,6.47655,6.59846,7.62209,23.8351,1.0
4382827,6.48963,6.61201,7.66912,23.8409,1.0
4393753,6.50524,6.62781,6.16116,23.8308,1.0
4404805,6.52016,6.64322,7.08872,23.858,1.0
4416182,6.5349,6.65836,7.1881,23.8694,1.0
4426820,6.55142,6.67468,7.55222,23.8266,1.0
4437849,6.56806,6.69183,5.56737,23.8466,1.0
4448809,6.58085,6.70506,6.20419,23.8351,1.0
4458874,6.59077,6.71497,7.48111,23.818,1.0
4468805,6.60261,6.72709,7.73783,23.8494,1.0
4479780,6.61824,6.74267,7.49317,23.8194,1.0
4489753,6.63591,6.76109,6.85892,23.8323,1.0
4500818,6.65299,6.77833,6.72818,23.818,1.0
4512337,6.66834,6.79385,6.81992,23.828,1.0
4524206,6.68335,6.80929,7.69227,23.8437,1.0
4534752,6.69879,6.82522,6.40166,23.8551,1.0
4545756,6.71406,6.84071,7.7379,23.8494,1.0
4556794,6.73205,6.85923,8.42231,23.8666,1.0
4567751,6.75495,6.88208,7.54,23.8251,1.0
4578872,6.77773,6.90542,5.33912,23.8266,1.0
4589911,6.79721,6.92536,8.18682,23.8351,1.0
4600792,6.81725,6.94537,7.50459,23.8208,1.0
4610752,6.83775,6.96693,6.3321,23.848,1.0
4620798,6.85406,6.983,5.98549,23.8137,1.0
4632182,6.86728,6.99686,8.27301,23.8466,1.0
4644207,6.88149,7.01128,6.92327,23.8394,1.0
4656209,6.89666,7.02669,7.62232,23.8351,1.0
4666820,6.91109,7.04166,6.48399,23.8637,1.0
4677822,6.92538,7.05623,8.40106,23.8637,1.0
4688804,6.94037,7.07103,6.24643,23.8394,1.0
4699753,6.95182,7.0827,5.48703,23.8394,1.0
