timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
3945874,5.29074,5.38839,6.56235,23.5792,1.0
3955820,5.30417,5.40196,6.45347,23.5677,1.0
3966912,5.32022,5.41824,4.80748,23.5763,1.0
3976897,5.3359,5.43417,6.34272,23.5563,1.0
3987865,5.3523,5.45195,5.81499,23.674,1.0
3999821,5.36932,5.46889,5.50117,23.6454,1.0
4011872,5.38626,5.48622,6.25961,23.6454,1.0
4022915,5.4052,5.50586,6.56343,23.6769,1.0
4033807,5.42532,5.52616,4.71514,23.6669,1.0
4043824,5.44068,5.54172,3.50057,23.6583,1.0
4054768,5.44698,5.54818,3.67398,23.6683,1.0
4064792,5.44433,5.54553,3.77001,23.674,1.0
4076753,5.43628,5.53729,5.79996,23.6726,1.0
4087820,5.427,5.52795,4.91852,23.6826,1.0
4098766,5.41745,5.51788,5.50114,23.6454,1.0
4109829,5.40484,5.50507,1.92487,23.6612,1.0
4120752,5.3857,5.48539,4.36353,23.6412,1.0
4131871,5.36128,5.46068,4.42388,23.6454,1.0
4142753,5.33707,5.43632,6.57735,23.6783,1.0
4153830,5.31608,5.41464,4.38332,23.6426,1.0
4164755,5.29693,5.39542,5.81484,23.674,1.0
4175820,5.28191,5.37985,6.9211,23.644,1.0
4186768,5.27421,5.37225,5.78401,23.6712,1.0
4197867,5.27159,5.36963,5.9654,23.6883,1.0
4208787,5.27318,5.37112,6.53684,23.674,1.0
4219820,5.27893,5.37665,5.41981,23.6383,1.0
4230753,5.28522,5.38339,4.82742,23.6755,1.0
4241791,5.29002,5.3883,5.75413,23.6683,1.0
4252757,5.29576,5.39388,6.18819,23.6383,1.0
4263821,5.30529,5.40396,6.50962,23.6712,1.0
4274912,5.3185,5.4173,5.645,23.6583,1.0
4285812,5.33317,5.43241,5.87606,23.6797,1.0
4295822,5.34652,5.44568,4.32255,23.6383,1.0
4305866,5.35809,5.45766,6.59033,23.6797,1.0
4316806,5.37307,5.47287,7.18584,23.674,1.0
4328766,5.39374,5.49386,5.75405,23.6683,1.0
4339820,5.4165,5.51693,6.18828,23.6383,1.0
4349798,5.44148,5.54265,7.11194,23.6655,1.0
4360752,5.47266,5.57414,7.59652,23.6369,1.0
4371877,5.51111,5.61246,6.92006,23.5463,1.0
4382751,5.55257,5.65492,5.76824,23.572,1.0
4392774,5.5924,5.69514,6.14326,23.5363,1.0
4403820,5.6305,5.73447,6.56242,23.5792,1.0
4413851,5.66912,5.77319,6.89496,23.5435,1.0
4424752,5.70786,5.81287,5.70578,23.5663,1.0
4434753,5.74342,5.84914,5.56498,23.5535,1.0
4445791,5.77524,5.88177,6.53603,23.5763,1.0
4456808,5.80652,5.91326,6.86918,23.5406,1.0
4468752,5.8411,5.94885,7.88299,23.5749,1.0
4479844,5.88061,5.98863,6.91992,23.5463,1.0
4490756,5.92218,6.03127,6.53586,23.5763,1.0
4501791,5.95945,6.06917,3.67337,23.5706,1.0
4512753,5.98867,6.09876,6.32894,23.5549,1.0
4523821,6.01338,6.12418,6.48102,23.5706,1.0
4534753,6.03588,6.14678,5.41908,23.5406,1.0
4545852,6.053,6.16449,4.71436,23.5692,1.0
4556753,6.06507,6.17651,6.89506,23.5435,1.0
4567752,6.07447,6.18643,4.69614,23.5677,1.0
4579308,6.07949,6.19125,5.41914,23.5406,1.0
4589808,6.07985,6.19193,5.81394,23.5763,1.0
4600768,6.08035,6.19209,7.61875,23.542,1.0
4613810,6.08405,6.19618,5.81392,23.5763,1.0
4624810,6.08896,6.2012,6.54909,23.5778,1.0
4637805,6.09488,6.20686,6.94571,23.5492,1.0
4648767,6.10202,6.21425,5.64398,23.5606,1.0
4661806,6.10742,6.22092,5.75416,23.6683,1.0
4672757,6.10826,6.22149,4.36364,23.6412,1.0
4684768,6.10237,6.21567,4.60141,23.6583,1.0
4695821,6.08928,6.20218,4.48332,23.6497,1.0
4706821,6.07309,6.186,7.17399,23.6726,1.0
4717791,6.06041,6.17276,6.90864,23.6426,1.0
4728780,6.05373,6.16612,7.04914,23.6583,1.0
4739820,6.05133,6.1635,6.21598,23.6412,1.0
