timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
3921802,2.41606,2.46022,3.90671,23.4872,1.0
3933034,2.49494,2.54063,4.1705,23.5043,1.0
3943849,2.5735,2.62051,3.76883,23.4786,1.0
3954752,2.65016,2.69858,3.79158,23.48,1.0
3965050,2.7255,2.77517,4.56088,23.46,1.0
3977026,2.80098,2.85219,3.95217,23.4901,1.0
3987795,2.87513,2.92768,3.97551,23.4915,1.0
3998753,2.94574,2.99944,3.4994,23.4629,1.0
4009846,3.01218,3.06724,3.99707,23.4929,1.0
4021022,3.07655,3.13274,4.60006,23.4629,1.0
4031772,3.14016,3.19752,3.76883,23.4786,1.0
4042768,3.19874,3.2571,1.87557,23.4643,1.0
4053802,3.24802,3.30752,2.97466,23.5072,1.0
4065775,3.28793,3.34787,1.87555,23.4643,1.0
4075830,3.32093,3.38168,4.04155,23.4958,1.0
4086753,3.34903,3.41009,1.72879,23.46,1.0
4097853,3.37227,3.43395,3.83845,23.4829,1.0
4109035,3.39494,3.45708,4.97059,23.4915,1.0
4119785,3.4189,3.48126,1.78155,23.4615,1.0
4130753,3.44002,3.50295,3.99713,23.4929,1.0
4141008,3.4585,3.5215,3.44987,23.46,1.0
4153000,3.47625,3.53984,4.04155,23.4958,1.0
4163787,3.49194,3.5557,2.14222,23.4729,1.0
4173802,3.50394,3.56794,3.74594,23.4772,1.0
4183848,3.51235,3.57647,2.37637,23.4815,1.0
4194778,3.51816,3.58244,4.06267,23.4972,1.0
4205803,3.52163,3.58584,1.78154,23.4615,1.0
4215812,3.52248,3.58691,4.04155,23.4958,1.0
4226753,3.52255,3.58684,3.44999,23.46,1.0
4237852,3.52262,3.58684,3.37042,23.4558,1.0
4249026,3.52253,3.58697,3.99713,23.4929,1.0
4261021,3.52317,3.58743,3.47478,23.4615,1.0
4273000,3.52299,3.58739,2.69215,23.4943,1.0
4285024,3.52019,3.5844,3.26482,23.45,1.0
4295773,3.51621,3.58046,3.86243,23.4843,1.0
4306752,3.51353,3.57776,3.95217,23.4901,1.0
4317855,3.51122,3.5754,2.37641,23.4815,1.0
4329029,3.50894,3.57299,4.80667,23.4786,1.0
4339839,3.50948,3.57353,3.62387,23.47,1.0
4350752,3.51418,3.57845,4.95318,23.4901,1.0
4361803,3.5246,3.58889,4.75126,23.4743,1.0
4373039,3.54169,3.60642,4.89808,23.4858,1.0
4383773,3.56462,3.62977,4.82599,23.48,1.0
4394766,3.59085,3.65645,3.72115,23.4758,1.0
4405823,3.61596,3.68179,3.44984,23.46,1.0
4417011,3.63818,3.70469,3.93034,23.4886,1.0
4427787,3.66018,3.72704,4.91691,23.4872,1.0
4438757,3.68493,3.75207,4.54198,23.4586,1.0
4449809,3.71144,3.77933,3.99713,23.4929,1.0
4461027,3.73797,3.80611,4.57972,23.4615,1.0
4471847,3.76899,3.83778,6.52059,23.4772,1.0
4482883,3.80749,3.87708,4.01853,23.4943,1.0
4493048,3.85011,3.92049,5.88878,23.4858,1.0
4503815,3.89735,3.96843,5.64311,23.4629,1.0
4513822,3.9491,4.02118,4.88039,23.4843,1.0
4525031,3.99836,4.07132,2.37634,23.4815,1.0
4537825,4.03946,4.11327,3.81592,23.4815,1.0
4549043,4.07457,4.14893,4.86137,23.4829,1.0
4559786,4.10799,4.1829,4.52163,23.4572,1.0
4570973,4.14072,4.21643,4.89813,23.4858,1.0
4581809,4.1733,4.24961,4.93444,23.4886,1.0
4593916,4.20778,4.28462,5.87406,23.4843,1.0
4605089,4.24381,4.32127,3.81585,23.4815,1.0
4617749,4.27642,4.35446,3.76875,23.4786,1.0
4629023,4.30407,4.3826,4.82585,23.48,1.0
4641610,4.33254,4.41156,6.4111,23.4658,1.0
4653034,4.36722,4.44709,5.87421,23.4843,1.0
4665609,4.40617,4.4867,4.80678,23.4786,1.0
4675848,4.44583,4.52692,5.79802,23.4772,1.0
4686181,4.4858,4.56779,4.84379,23.4815,1.0
4699121,4.5244,4.60715,4.86156,23.4829,1.0
4710861,4.56188,4.64539,5.96371,23.4929,1.0
4723065,4.6013,4.68537,5.82891,23.48,1.0
4734752,4.64242,4.72744,5.18042,23.5086,1.0
4744831,4.68203,4.76754,4.80671,23.4786,1.0
4755787,4.71687,4.80303,3.79156,23.48,1.0
4766784,4.74438,4.83105,3.76883,23.4786,1.0
4778649,4.76404,4.85105,3.79156,23.48,1.0
4788894,4.77575,4.8631,2.8217,23.5001,1.0
4799787,4.78214,4.86943,5.82882,23.48,1.0
4811053,4.78713,4.87451,3.6728,23.4729,1.0
4822757,4.79007,4.8774,4.76928,23.4758,1.0
4832893,4.78862,4.87607,2.45036,23.4843,1.0
4843854,4.78223,4.8695,4.78874,23.4772,1.0
4854204,4.77389,4.86108,4.89803,23.4858,1.0
4866523,4.76505,4.85198,3.72106,23.4758,1.0
4878173,4.75313,4.83996,3.67286,23.4729,1.0
4888770,4.73696,4.82348,3.64937,23.4715,1.0
4899785,4.71711,4.80332,3.8384,23.4829,1.0
4910759,4.69456,4.78041,3.99711,23.4929,1.0
4923423,4.67231,4.75737,5.57931,23.4572,1.0
4934751,4.65365,4.73851,4.75124,23.4743,1.0
4947429,4.63813,4.72294,4.7889,23.4772,1.0
4958268,4.62727,4.71182,6.56117,23.4815,1.0
4968764,4.62514,4.70961,5.84359,23.4815,1.0
4978775,4.6284,4.7129,3.76879,23.4786,1.0
4988753,4.63093,4.71557,4.84379,23.4815,1.0
4999856,4.63254,4.71717,4.80674,23.4786,1.0
5011446,4.6372,4.72197,6.49335,23.4743,1.0
5022766,4.6459,4.73085,3.74601,23.4772,1.0
5032753,4.65304,4.73809,3.81594,23.4815,1.0
5043779,4.6549,4.73999,3.74599,23.4772,1.0
5054768,4.65062,4.73554,2.18199,23.4743,1.0
5066610,4.64082,4.72564,4.86149,23.4829,1.0
5078261,4.62969,4.71407,4.5609,23.46,1.0
5088758,4.61825,4.70244,3.69784,23.4743,1.0
5098754,4.60297,4.68704,2.26234,23.4772,1.0
5110097,4.58211,4.6658,3.74594,23.4772,1.0
5120762,4.56049,4.64385,5.85951,23.4829,1.0
5131067,4.54243,4.62535,3.7211,23.4758,1.0
5142087,4.52764,4.61029,5.82882,23.48,1.0
5154520,4.51863,4.60107,5.76718,23.4743,1.0
5164845,4.51892,4.60148,6.52072,23.4772,1.0
5175788,4.52887,4.61151,5.81287,23.4786,1.0
5186612,4.54469,4.62773,4.80676,23.4786,1.0
5198272,4.56127,4.64459,4.75138,23.4743,1.0
5208912,4.57678,4.66033,4.75133,23.4743,1.0
5219793,4.58992,4.67362,3.72104,23.4758,1.0
5230771,4.60374,4.6878,7.18362,23.4786,1.0
5242520,4.62482,4.70918,5.7049,23.4686,1.0
5252770,4.65233,4.73732,5.81299,23.4786,1.0
5263854,4.68306,4.76852,5.81287,23.4786,1.0
5274769,4.71673,4.80286,5.88867,23.4858,1.0
5286085,4.75289,4.83961,5.79805,23.4772,1.0
5296769,4.78932,4.87669,4.73315,23.4729,1.0
5307792,4.82398,4.91206,5.7212,23.47,1.0
5318769,4.85679,4.94563,4.7515,23.4743,1.0
5331156,4.88797,4.97742,5.82908,23.48,1.0
5342769,4.91767,5.00742,4.75131,23.4743,1.0
5354879,4.94583,5.03601,5.78199,23.4758,1.0
5366237,4.97379,5.06458,5.76723,23.4743,1.0
5376918,5.00276,5.09409,5.76723,23.4743,1.0
5387790,5.03369,5.12551,6.54785,23.48,1.0
5398785,5.06593,5.15838,4.67555,23.4686,1.0
5411094,5.09397,5.18695,3.7211,23.4758,1.0
5422752,5.11339,5.20671,3.69791,23.4743,1.0
5435075,5.12522,5.21883,4.82595,23.48,1.0
5446849,5.13023,5.22387,2.14221,23.4729,1.0
5459106,5.12788,5.22144,4.75129,23.4743,1.0
5470091,5.12003,5.21349,3.76877,23.4786,1.0
5480766,5.10847,5.20182,4.73329,23.4729,1.0
5490773,5.09402,5.18736,4.19267,23.5058,1.0
5502088,5.07608,5.16863,3.42299,23.4586,1.0
5514520,5.05582,5.1482,5.84365,23.4815,1.0
5526087,5.0385,5.13052,5.78216,23.4758,1.0
5536910,5.02643,5.11793,5.6265,23.4615,1.0
5547812,5.01883,5.11053,5.76732,23.4743,1.0
5558286,5.01274,5.10421,3.47481,23.4615,1.0
5571102,5.00559,5.09702,5.82888,23.48,1.0
5582757,5.00038,5.09166,5.76723,23.4743,1.0
5592911,5.00094,5.09236,6.60241,23.4858,1.0
5603772,5.00519,5.09647,3.47478,23.4615,1.0
5614770,5.00617,5.09768,3.79161,23.48,1.0
5626524,5.00181,5.09306,4.76933,23.4758,1.0
5636911,4.99511,5.0863,4.75133,23.4743,1.0
5647877,4.98625,5.07813,3.72173,23.5735,1.0
5659467,4.97313,5.06477,3.67343,23.5706,1.0
5670780,4.95489,5.04611,3.57666,23.5649,1.0
5680911,4.93175,5.02247,3.47531,23.5592,1.0
5691773,4.90552,4.99594,4.86224,23.5806,1.0
5702236,4.88084,4.97064,5.75313,23.5706,1.0
5714618,4.8616,4.95102,5.64398,23.5606,1.0
5726210,4.84972,4.9391,6.48105,23.5706,1.0
5736767,4.84595,4.93529,5.78314,23.5735,1.0
5747787,4.84728,4.93665,4.86227,23.5806,1.0
5758766,4.85067,4.94005,5.75327,23.5706,1.0
5771335,4.85567,4.94516,4.73402,23.5706,1.0
5782757,4.86192,4.95153,5.7533,23.5706,1.0
5795398,4.86931,4.95911,4.77026,23.5735,1.0
5806184,4.87611,4.96591,4.58056,23.5592,1.0
5816756,4.88222,4.97221,5.82984,23.5778,1.0
5826774,4.88939,4.97946,4.75211,23.572,1.0
5836753,4.89744,4.98749,5.67551,23.5635,1.0
5847815,4.90581,4.99609,4.60068,23.5606,1.0
5859559,4.91133,5.00151,3.21006,23.5449,1.0
5870885,4.91157,5.00198,4.75204,23.572,1.0
5881813,4.90835,4.99843,4.32173,23.5406,1.0
5893813,4.90207,4.99247,3.81655,23.5792,1.0
5904753,4.89351,4.98348,5.46775,23.5449,1.0
5915846,4.8856,4.97571,4.84458,23.5792,1.0
5926885,4.87962,4.96933,5.54819,23.552,1.0
5936763,4.87794,4.96702,6.43902,23.4686,1.0
5947907,4.88372,4.97278,6.29975,23.4543,1.0
5957859,4.89752,4.98705,6.54811,23.48,1.0
5968756,4.91882,5.00861,6.43899,23.4686,1.0
5979842,4.94537,5.03553,5.61136,23.46,1.0
5990899,4.97529,5.06622,6.64234,23.4901,1.0
6001848,5.00678,5.09794,4.42245,23.45,1.0
6013850,5.03778,5.12977,6.54798,23.48,1.0
6025818,5.07054,5.16285,6.27116,23.4515,1.0
6038893,5.10422,5.19813,4.44416,23.5492,1.0
6048911,5.13472,5.22935,5.70595,23.5663,1.0
6059806,5.16394,5.2589,6.32897,23.5549,1.0
6070973,5.1921,5.28787,3.76948,23.5763,1.0
6081804,5.21576,5.31178,5.58043,23.5549,1.0
6094892,5.23546,5.33216,4.95407,23.5878,1.0
6105802,5.25425,5.35119,6.53606,23.5763,1.0
6117853,5.27548,5.37253,6.34259,23.5563,1.0
6129803,5.29947,5.39694,5.73697,23.5692,1.0
6141814,5.32465,5.42266,6.38425,23.5606,1.0
6153802,5.35185,5.45043,6.45337,23.5677,1.0
