timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
4303103,1.30388,1.32791,1.87591,23.562,1.0
4313767,1.30199,1.32597,1.8759,23.562,1.0
4324810,1.30248,1.32646,0.927297,23.5406,1.0
4335766,1.30291,1.32689,1.32144,23.5477,1.0
4347192,1.30257,1.32653,1.10319,23.5435,1.0
4357767,1.29565,1.31948,0.0,23.5363,1.0
4368805,1.27652,1.3,1.02229,23.542,1.0
4379770,1.25192,1.27496,1.1032,23.5435,1.0
4391100,1.22946,1.25233,1.78218,23.6569,1.0
4401770,1.21065,1.23312,1.38997,23.6469,1.0
4412885,1.19573,1.21794,1.78214,23.6569,1.0
4423973,1.1843,1.20629,1.25489,23.644,1.0
4433840,1.17607,1.19793,1.82979,23.6583,1.0
4444815,1.17247,1.19427,2.10241,23.6669,1.0
4454871,1.1732,1.19495,0.829514,23.6369,1.0
4466832,1.17496,1.19678,1.38998,23.6469,1.0
4478822,1.16966,1.19135,0.0,23.6269,1.0
4489765,1.15143,1.17258,1.51277,23.552,1.0
4500790,1.12706,1.14775,0.0,23.5234,1.0
4511889,1.10321,1.12352,1.7291,23.5577,1.0
4521840,1.08047,1.1003,0.0,23.5249,1.0
4532871,1.05876,1.07826,1.62253,23.5549,1.0
4542820,1.04324,1.06239,2.73138,23.522,1.0
4553753,1.04363,1.06284,3.18329,23.5435,1.0
4563889,1.064,1.08357,3.04085,23.5363,1.0
4574871,1.10339,1.12372,3.47543,23.5592,1.0
4586820,1.16179,1.18324,3.79228,23.5778,1.0
4598855,1.23515,1.25781,2.92091,23.5306,1.0
4610821,1.31616,1.3404,3.50005,23.5606,1.0
4621753,1.40058,1.42629,2.76506,23.5234,1.0
4632805,1.47733,1.50454,0.0,23.5549,1.0
4643890,1.53529,1.56347,0.0,23.5263,1.0
4654786,1.57866,1.60772,1.67862,23.5563,1.0
4665756,1.61546,1.6452,1.62252,23.5549,1.0
4676856,1.64794,1.67824,1.72906,23.5577,1.0
4688875,1.6732,1.70403,0.0,23.5706,1.0
4699971,1.68723,1.71819,0.0,23.5263,1.0
4709752,1.69312,1.72429,1.56863,23.5535,1.0
4720795,1.6953,1.72646,0.0,23.532,1.0
4731889,1.6947,1.72591,1.78186,23.5592,1.0
4742825,1.69186,1.72294,0.0,23.532,1.0
4754871,1.68909,1.72012,2.92096,23.5306,1.0
4766859,1.68927,1.72037,1.38976,23.5492,1.0
4777767,1.69382,1.72526,3.2921,23.6469,1.0
4787891,1.7033,1.73494,1.56888,23.6512,1.0
4797753,1.71636,1.74816,2.89185,23.6269,1.0
4808874,1.73082,1.76295,0.718396,23.6354,1.0
4819890,1.74203,1.77435,0.0,23.6197,1.0
4830821,1.74289,1.77529,0.0,23.6397,1.0
4841761,1.72784,1.75992,0.0,23.6454,1.0
4852798,1.69549,1.72695,0.0,23.644,1.0
4863752,1.64674,1.67729,0.0,23.6397,1.0
4875766,1.58232,1.61175,0.0,23.6554,1.0
4886827,1.50286,1.53077,0.0,23.6426,1.0
4897761,1.40607,1.43214,0.0,23.6254,1.0
4908799,1.28809,1.312,0.0,23.6412,1.0
4918821,1.14404,1.16522,0.0,23.6169,1.0
4929234,0.972943,0.991033,1.87622,23.6597,1.0
4940851,0.779398,0.793841,0.0,23.6226,1.0
4951753,0.549737,0.559939,0.927436,23.6383,1.0
4963752,0.157955,0.16088,0.0,23.6183,1.0
4974872,0.0,0.0,1.96914,23.6626,1.0
4985753,0.0,0.0,2.48869,23.6812,1.0
4996836,0.0,0.0,0.927436,23.6383,1.0
5007753,0.0,0.0,1.10338,23.6412,1.0
5019752,0.0,0.0,0.0,23.6283,1.0
5030828,0.0,0.0,1.10337,23.6412,1.0
5041024,0.0,0.0,0.0,23.6183,1.0
5052791,0.0,0.0,1.62281,23.6526,1.0
5063765,0.0,0.0,1.2549,23.644,1.0
5075780,0.0,0.0,0.0,23.6169,1.0
5086050,0.0,0.0,0.0,23.6297,1.0
5096907,0.0,0.0,0.0,23.6169,1.0
5107665,0.0,0.0,1.51306,23.6497,1.0
5118045,0.0,0.0,1.78212,23.6569,1.0
5128828,0.0,0.0,2.01567,23.664,1.0
5138856,0.0,0.0,0.82953,23.6369,1.0
5150422,0.0,0.0,1.02245,23.6397,1.0
5162439,0.0,0.0,1.32145,23.5477,1.0
5172791,0.0,0.0,2.22449,23.5735,1.0
5183765,0.0,0.0,1.78193,23.5592,1.0
5194880,0.0,0.0,1.62255,23.5549,1.0
5206101,0.0,0.0,1.45036,23.5506,1.0
5216856,0.0,0.0,0.0,23.5134,1.0
5227189,0.0,0.0,1.32145,23.5477,1.0
5238821,0.0,0.0,1.18415,23.5449,1.0
5250373,0.0,0.0,1.38976,23.5492,1.0
5260806,0.0,0.0,1.32165,23.6454,1.0
5271763,0.0,0.0,1.51306,23.6497,1.0
5282874,0.258148,0.26294,1.25488,23.644,1.0
5294050,0.404597,0.412115,1.6228,23.6526,1.0
5304792,0.513138,0.522678,1.82979,23.6583,1.0
5315784,0.613403,0.624786,3.12716,23.6383,1.0
5326820,0.714059,0.727334,1.82979,23.6583,1.0
5338635,0.804369,0.81928,0.0,23.6211,1.0
5348891,0.886086,0.902586,3.65064,23.6669,1.0
5359776,0.968059,0.986017,0.0,23.6254,1.0
5370820,1.04285,1.06223,1.6228,23.6526,1.0
5382039,1.10473,1.12518,0.0,23.6169,1.0
5392810,1.15564,1.17713,1.62283,23.6526,1.0
5403770,1.19919,1.22147,1.18438,23.6426,1.0
5414871,1.236,1.25887,0.0,23.6197,1.0
5426764,1.26532,1.28883,1.51307,23.6497,1.0
5436811,1.28862,1.31249,0.0,23.6197,1.0
5447846,1.30689,1.33117,1.67891,23.654,1.0
5458450,1.3213,1.34581,0.0,23.6254,1.0
